study,reference,year,N,seropositive.immune,country,min.age,max.age
1,Ouattara,1987,88,0.22,Ivory Coast,0,4
1,Ouattara,1987,412,0.35,Ivory Coast,5,9
1,Ouattara,1987,485,0.56,Ivory Coast,10,14
1,Ouattara,1987,256,0.65,Ivory Coast,15,19
1,Ouattara,1987,579,0.64,Ivory Coast,20,24
1,Ouattara,1987,653,0.61,Ivory Coast,25,29
1,Ouattara,1987,448,0.63,Ivory Coast,30,34
1,Ouattara,1987,272,0.65,Ivory Coast,35,39
1,Ouattara,1987,104,0.49,Ivory Coast,40,44
1,Ouattara,1987,176,0.64,Ivory Coast,45,60
2,Modarres,1996,96,0.927,Iran,0,0.05
2,Modarres,1996,89,0.595,Iran,0.05,0.5
2,Modarres,1996,41,0.366,Iran,0.5,1
2,Modarres,1996,157,0.42,Iran,1,4
2,Modarres,1996,172,0.581,Iran,5,9
2,Modarres,1996,172,0.738,Iran,10,14
2,Modarres,1996,214,0.93,Iran,15,19
2,Modarres,1996,403,0.938,Iran,20,24
2,Modarres,1996,296,0.956,Iran,25,29
2,Modarres,1996,232,0.952,Iran,30,34
2,Modarres,1996,146,0.973,Iran,35,39
2,Modarres,1996,84,0.976,Iran,40,45
3,Nessa,2008,61,0.21,Bangladesh,1,5
3,Nessa,2008,61,0.52,Bangladesh,6,10
3,Nessa,2008,63,0.67,Bangladesh,11,15
3,Nessa,2008,62,0.77,Bangladesh,16,20
3,Nessa,2008,83,0.82,Bangladesh,21,25
3,Nessa,2008,67,0.84,Bangladesh,26,30
3,Nessa,2008,63,0.81,Bangladesh,31,35
3,Nessa,2008,60,0.88,Bangladesh,36,40
3,Nessa,2008,62,0.89,Bangladesh,41,45
